timestamp	category	url	detail
2026-09-18T15:40:05.242855+00:00	parse_error	https://www.mdpi.com/rss/journal/optics	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:05.452300+00:00	parse_error	https://www.mdpi.com/rss/journal/organics	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:05.678558+00:00	parse_error	https://www.mdpi.com/rss/journal/photochem	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:06.032363+00:00	parse_error	https://www.mdpi.com/rss/journal/photonics	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:06.260327+00:00	parse_error	https://www.mdpi.com/rss/journal/polymers	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:06.477912+00:00	parse_error	https://www.mdpi.com/rss/journal/processes	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:06.692371+00:00	parse_error	https://www.mdpi.com/rss/journal/recycling	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:06.907296+00:00	parse_error	https://www.mdpi.com/rss/journal/sensors	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:07.098879+00:00	parse_error	https://www.mdpi.com/rss/journal/solar	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:07.333666+00:00	parse_error	https://www.mdpi.com/rss/journal/solids	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:07.562323+00:00	parse_error	https://www.mdpi.com/rss/journal/surfaces	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:07.784010+00:00	parse_error	https://www.mdpi.com/rss/journal/sustainability	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:07.989989+00:00	parse_error	https://www.mdpi.com/rss/journal/symmetry	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:08.210588+00:00	parse_error	https://www.mdpi.com/rss/journal/technologies	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:08.430581+00:00	parse_error	https://www.mdpi.com/rss/journal/water	attempt=1; SAXParseException('syntax error')
2026-09-18T15:40:15.469065+00:00	http_403	https://www.tandfonline.com/action/showFeed?type=etoc&feed=rss&jc=tetn	attempt=1; HTTP Error 403: Forbidden
